DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,QHnd,total_effective_ventilation_flow,ventilation_type,air_changes,Interfloor,system_performance,corridor,aereo,air_changes_max
13,1990,3254,0.0,420.5399,1154.32,420.54,0.0,1930.08,0.0,1085.28,75.04,0.2881,1.3027,0.3137,296008.2,0.5981,32.21,1,192.08,2018.0,16814.53,0.0,0,0.64,4.589527750035668,0.697,3496.7485832501065,14.018,12.942508082566528
12,1960,3062,0.0,182.11,821.65,182.11,182.11,920.37,920.37,800.61,21.04,1.1862,4.7107,0.5556,135572.3,0.8927,7.04,0,49.98,2007.0,121601.91,0.0,0,3.44,5.053923452858163,0.684,1636.187584312063,6.070333333333334,11.753244890641808
13,1990,2870,,3683.039,4361.56,3683.04,0.0,12562.65,0.0,3701.12,660.44,1.1591,2.9739,0.5235,1221046.0,0.3472,83.31,1,1832.0,2006.0,473030.63,0.0,0,0.3268,3.4109458490811937,0.775,24726.07748871003,122.768,17.414524483289753
4,1979,3270,4.0,391.86,823.66,391.86,0.0,1521.73,0.0,721.94,99.74,1.131,5.2976,0.3002,98269.53,0.5413,0.04,0,195.1,1993.0,245495.44,0.1638,0,0.477658052433527,3.88335119685602,1.684,2888.134549714599,13.062,15.29606697640186
4,1890,2862,0.0,615.12,1228.91,615.12,0.0,2834.58,0.0,1114.73,114.18,0.3488,1.3084,0.0379,391725.0,0.4335,19.87,1,44.19,2019.0,36667.43,0.0,0,0.6015,4.608174014826375,0.832,5123.640335997967,20.504,12.890138221535468
13,1970,2971,1.0,1042.9,4048.09,1480.2,0.0,7732.3,0.0,3791.8,256.29,0.2702,1.053,0.0209,494790.0,0.5235,0.03,7,128.3,2023.0,160574.43,5845.6591,1,4.08,5.223821105256047,0.793,13526.767587346778,49.34,11.370986640456268
8,1930,2918,0.0,253.82,594.5,253.82,0.0,1164.42,0.0,440.17,48.38,1.3008,4.8593,0.1362,66913.83,0.5106,17.74,0,74.8,1996.0,73501.85,5729.83,0,2.19,4.5875817508470575,0.655,2115.282280136262,8.460666666666667,12.947998144999229
13,1960,2975,4.0,3151.67,4872.86,3151.67,0.0,12435.24,0.0,4182.95,689.91,1.0287,2.8853,0.5655,1160653.0,0.3919,225.99,1,743.34,2018.0,473492.18,0.0,0,0.64,3.9456034419847255,0.694,23408.55936846549,105.05566666666668,15.054731392397734
13,1984,2864,0.0,862.6001,1665.76,862.6,0.0,3296.58,0.0,1521.05,255.29,0.8853,1.7268,0.5008,274847.1,0.5053,43.76,1,645.0,1994.0,71022.21,1133.6068,2,0.3177,3.821678645954092,0.733,6272.528291751816,28.753333333333337,15.54290810476312
11,1980,2925,0.0,965.09,2606.93,965.09,0.0,6844.24,0.0,2428.76,358.16,0.7068,2.7511,0.2547,593967.1,0.3809,68.26,1,221.8,2019.0,128705.77,0.0,0,0.3549,7.09181527111461,0.773,11234.21645356528,32.169666666666664,8.375852687807559
4,1850,2888,0.0,427.0,956.07,427.0,0.0,2087.49,0.0,897.11,58.96,0.98,4.5396,0.0411,596522.13,0.458,0.02,0,120.2,2001.0,255778.98,624.1573,0,0.422464336647399,4.888735362997657,0.648,3721.49783399597,14.233333333333333,12.150381558714054
4,1930,3012,1.0,460.0,583.51,460.0,0.0,1787.88,0.0,411.73,48.27,1.3615,3.1,0.2568,66701.25,0.3264,48.54,0,89.0,2001.0,38580.3,1162.9978,0,0.7842,3.886695652173913,0.757,3390.3838078867548,15.333333333333334,15.282904892945837
13,2004,3194,0.0,299.41,630.82,299.41,0.0,1189.16,0.0,583.66,47.16,0.4401,3.2928,0.1933,122118.6,0.5305,26.35,31,105.7,2004.0,23441.48,0.0,0,0.3744,3.9716776326775993,0.671,2245.022862355397,9.980333333333334,14.955896599280164
4,1940,3083,0.0,678.14,1361.51,678.14,0.0,2942.4,0.0,1248.88,113.68,1.0208,1.5327,0.2143,229462.88,0.4627,0.04,1,60.1,2017.0,81239.65,1006.0705,0,0.559884374746731,4.338927065207774,0.893,5402.891664916554,22.604666666666667,13.69002039151713
4,1890,3012,0.0,1027.85,6253.35,3752.43,201.97,20148.0,1111.82,5548.35,705.0,1.3262,3.1303,0.0554,1500029.0,0.3104,216.56,19,500.0,2019.0,579881.86,0.0,0,0.3313,5.369320680199231,1.035,34995.828659715015,125.081,11.062851995235258
6,2001,2936,1.0,1169.65,2520.48,1169.65,0.0,8982.6,0.0,2433.84,79.08,0.4898,1.9768,0.0757,305950.38,0.2806,0.0,1,285.0,2013.0,271081.82,2.7253,2,4.96715989375109,7.679733253537383,0.813,14529.547339295495,38.98833333333334,7.734643644379133
8,1960,3122,,179.75,412.49,179.75,179.75,724.3,724.3,383.54,43.3,0.9854,1.2215,0.1412,106734.4,0.5695,10.61,1,34.13,2000.0,17409.39,0.0,0,0.3142,4.029485396383866,0.762,1366.5834174294614,5.991666666666666,14.74133646279166
13,1950,3354,1.0,291.47,826.84,291.47,0.0,1196.18,0.0,643.72,37.13,1.2177,1.3036,0.5835,61770.45,0.6912,8.87,1,34.0,2019.0,75778.06,1841.43,0,0.99,4.103955810203451,0.778,2237.60713874844,9.715666666666667,14.473840057516428
