average_opaque_surface_transmittance,average_glazed_surface_transmittance,predizione,predizione_min,predizione_max
0.5904842105263157,6.055389473684211,166175.25,144573.13987500002,187777.36012499998
0.5904842105263157,6.431431578947368,179200.89,157598.78050000002,200803.00074999998
0.5904842105263157,6.807473684210526,179200.89,157598.78050000002,200803.00074999998
0.5904842105263157,7.1835157894736845,179200.89,157598.78050000002,200803.00074999998
0.5904842105263157,7.559557894736842,179200.89,157598.78050000002,200803.00074999998
0.5904842105263157,7.9356,179200.89,157598.78050000002,200803.00074999998
0.7401789473684209,0.7908,115546.305,93944.19456250002,137148.41481249998
0.7401789473684209,1.166842105263158,116705.55,95103.43675000002,138307.65699999998
0.7401789473684209,1.5428842105263159,117647.11,96044.99925000002,139249.21949999998
0.7401789473684209,1.9189263157894736,120944.04,99341.92893750002,142546.14918749998
